release_date,original_title,vote_average
1951-04-11,Susana,6.9
1951-02-06,Vengeance Valley,4.0
1936-12-01,Great Guy,6.6
1932-08-01,The Hurricane Express,4.9
2008-09-06,The Secret of Moonacre,6.2
1938-04-20,Olympia - Fest der Völker,6.6
1938-04-20,Olympia - Fest der Schönheit,6.2
1997-10-28,Assault on Devil's Island,5.4
2005-09-08,Kaksipäisen kotkan varjossa,1.0
2006-06-25,Cinematographer Style,6.3
2009-02-27,The Cell 2,3.4
2006-10-05,Summer School,6.0
2006-05-07,Krakatoa: The Last Days,6.3
1929-01-01,Queen Kelly,6.5
1972-12-08,Un uomo da rispettare,6.0
2009-03-28,Nora Roberts' Midnight Bayou,5.8
2009-03-21,Northern Lights,5.8
2008-08-27,Le Silence de Lorna,6.7
1963-01-18,Le Doulos,7.4
2009-08-14,It Might Get Loud,7.4
2007-10-04,Botched,6.1
2009-01-01,Lonely Street,5.3
2009-04-04,High Noon,5.3
1936-05-05,Partie de campagne,7.5
1955-06-24,Moonfleet,5.9
1966-01-05,7 Women,5.7
2008-10-24,Vacancy 2: The First Cut,4.8
1976-05-01,The Pom Pom Girls,5.2
2009-04-11,Nora Roberts' Tribute,5.3
2009-08-21,Post Grad,5.0
2008-08-09,Goodbye Solo,6.6
1954-12-16,Long John Silver,6.3
2009-02-11,Questo piccolo grande amore,5.3
1979-03-14,Voices,0.0
2007-05-19,Chacun son cinema ou Ce petit coup au coeur quand la lumiere s'eteint et que le film commence,7.2
2009-02-06,My Life in Ruins,5.6
1990-10-12,Troll 2,3.6
1994-06-03,London,5.0
2008-09-24,Faubourg 36,6.2
1964-06-01,Murder Ahoy,7.2
2008-01-01,Witch Hunt,7.7
2009-09-03,A Dog Year,6.0
2008-12-11,Good,6.3
2007-09-01,Les Amours d'Astrée et de Céladon,5.3
1987-08-26,L'ami de mon amie,7.6
2009-09-03,Taking Woodstock,6.2
1996-05-18,Norma Jean & Marilyn,4.0
1996-10-13,If These Walls Could Talk,5.5
2007-06-06,Груз 200,7.1
2009-08-28,Halloween II,5.1
2009-10-09,Meteor,5.1
1943-05-03,Five Graves to Cairo,6.9
1946-04-09,The Dark Corner,6.9
1995-10-01,Full Body Massage,5.5
1982-05-19,Le beau mariage,6.7
2009-09-04,Videocracy,6.4
2009-08-13,El secreto de sus ojos,7.8
1981-01-20,The Day After Trinity,8.0
2009-08-19,9,6.6
2009-09-11,Cosmonauta,5.7
1966-05-20,Carry On Screaming,7.0
2009-03-23,Green Street Hooligans 2,5.0
2007-10-13,Randy & the Mob,4.8
1985-05-10,Détective,6.8
1933-04-07,The Three Musketeers,3.0
1940-10-25,Seven Sinners,6.6
2009-04-24,Frequently Asked Questions About Time Travel,7.1
2009-05-21,Das weisse Band,7.2
2002-10-04,Kahlekuningas,5.7
2009-03-27,Mentiras y gordas,4.0
2009-01-01,Fuga de Cerebros,5.5
2003-02-06,Living with Michael Jackson: A Tonight Special,1.0
2009-07-28,Green Lantern: First Flight,6.3
2007-04-01,Louis Theroux: The Most Hated Family in America,7.6
2009-08-26,Lies & Illusions,3.9
2009-09-08,Pandorum,6.5
2009-07-10,Paraiso Travel,5.8
1997-06-20,Airbag,6.5
1935-11-07,Peter Ibbetson,5.6
1955-05-08,Muerte de un ciclista,7.0
2009-04-12,Skellig,4.6
2007-08-24,Flood,4.5
2009-10-17,The Men Who Stare at Goats,5.9
2008-10-30,Immigrants (L.A. Dolce Vita),5.3
2009-05-04,The Hunt for Gollum,6.3
1953-04-04,"¡Bienvenido, Míster Marshall!",6.9
1959-10-30,Beast from Haunted Cave,4.9
1972-04-28,Tout Va Bien,6.6
1956-03-18,赤線地帯,7.7
1977-05-20,Padre padrone,6.7
1975-01-01,Ο θίασος,6.8
2009-01-01,Valentino: The Last Emperor,6.6
1923-02-26,The Pilgrim,7.3
1931-04-03,Le million,6.7
1968-05-17,Memorias del subdesarrollo,7.1
2007-01-01,Return of the Ghostbusters,5.2
2009-04-02,Laid to Rest,5.2
2009-09-18,Jennifer's Body,5.3
2009-09-18,The Informant!,6.0
1929-09-12,The Great Gabbo,6.0
1996-09-11,Hillsborough,4.0
2008-01-18,The Broken,5.6
1955-09-22,The Tall Men,6.2
1949-11-23,Tension,6.7
2009-01-17,Amreeka,6.3
2009-09-03,Extract,5.7
2009-08-26,The Final Destination,5.4
2009-09-03,Gamer,5.6
2009-09-17,Cloudy with a Chance of Meatballs,6.5
1994-03-15,Radio Inside,0.0
2009-09-11,I Can Do Bad All By Myself,6.0
1993-09-16,The Silver Stallion,4.3
1932-08-19,Mr. Robinson Crusoe,0.0
1959-11-06,The Wreck of the Mary Deare,5.8
2008-09-07,"Food, Inc.",7.3
2009-08-09,Beeswax,7.4
1969-11-13,Beatrice Cenci,7.2
1958-05-19,Attack of the 50 Foot Woman,4.8
2009-04-30,박쥐,7.0
2007-09-06,Battle for Terra,6.0
2009-02-13,Kielletty hedelmä,6.9
2009-09-18,Love Happens,5.6
2009-11-05,Bright Star,6.8
2009-10-09,Blood Creek,5.2
1953-05-02,Split Second,5.7
2009-04-30,Un buen hombre,0.0
1952-01-16,Scandal Sheet,6.5
2004-06-06,Sof Ha'Olam Smola,6.2
1998-02-15,I Want You,5.9
2004-11-10,La confiance règne,5.5
2005-06-07,Hellraiser: Deader,4.4
2005-09-06,Hellraiser: Hellworld,4.1
2006-01-01,Crónica de una fuga,6.2
2007-09-14,Paranormal Activity,5.9
2008-01-01,Lake City,6.3
1948-09-21,L'aigle à deux têtes,7.0
1956-02-09,"Forever, Darling",9.0
2008-08-28,Not Quite Hollywood,6.9
1954-12-22,3 Ring Circus,5.5
1960-11-30,The 3 Worlds of Gulliver,5.4
2009-09-23,Kinatay,5.8
1937-10-29,Angel,6.8
1941-12-26,Hellzapoppin',6.9
2008-01-19,Ballast,7.0
1970-02-14,5 bambole per la luna d'agosto,5.7
2009-08-20,World's Greatest Dad,6.5
1964-03-13,Deus e o Diabo na Terra do Sol,6.8
2008-06-28,歩いても 歩いても,7.5
1952-02-29,Le Plaisir,6.8
1957-02-19,Pyaasa,7.6
1963-10-08,"Muriel, ou le Temps d'un retour",7.0
1975-10-01,Xala,7.0
2009-09-06,Capitalism: A Love Story,7.0
1949-01-01,Le sang des bêtes,8.0
1969-10-16,Un esercito di cinque uomini,6.6
2009-09-18,वांटेड,5.2
2009-07-31,The Cove,7.9
2009-10-02,A Serious Man,6.6
2009-03-06,City Island,6.9
2009-01-23,Ink,6.5
1912-10-27,Mest kinematograficheskogo operatora (Cameraman's Revenge),7.2
1983-10-31,Do pivince,7.3
2009-02-06,ヤッターマン,5.9
2009-10-21,Metropia,6.3
2008-10-02,Clubbed,7.3
1984-01-01,"Kyvadlo, jáma a nadeje",7.1
2009-08-14,Grace,5.1
2009-09-12,The Haunted World of El Superbeasto,6.1
1965-02-28,春婦伝,6.8
2007-10-05,Trick 'r Treat,6.7
2009-06-12,The Hills Run Red,5.1
2009-09-13,Whip It,6.7
2009-09-13,The Invention of Lying,6.0
2009-06-07,Unmistaken Child,4.7
1942-08-07,A-Haunting We Will Go,4.9
2009-09-24,Surrogates,5.9
2009-02-06,Next Day Air,5.3
2009-10-07,Zombieland,7.2
2009-01-01,Fame,5.5
2009-08-28,The September Issue,6.9
1991-04-21,Paris Trout,4.5
2008-01-17,Assassination of a High School President,6.1
2008-10-12,How to Be a Serial Killer,4.8
1945-10-05,Bud Abbott and Lou Costello in Hollywood,6.2
1950-08-05,Abbott and Costello in the Foreign Legion,6.7
2009-09-09,Sorority Row,5.3
2009-09-09,Whiteout,5.3
2008-12-19,Rudo y Cursi,6.1
2009-10-29,An Education,6.9
1998-11-01,David and Lisa,6.8
1952-12-27,Abbott and Costello Meet Captain Kidd,6.2
1983-04-20,La vie est un roman,5.3
2009-04-22,Coco avant Chanel,6.7
1936-02-22,The Story of Louis Pasteur,6.6
2007-12-07,The Killing of John Lennon,6.1
2008-11-12,Burma VJ: Reporter i et lukket land,6.4
1980-12-01,Werner Herzog Eats His Shoe,7.1
1975-04-16,Capone,6.0
1955-01-01,Abbott and Costello Meet the Keystone Kops,6.2
2009-09-19,Couples Retreat,5.3
2009-09-04,All About Steve,4.7
2009-09-15,Hiroshima,5.0
2009-01-01,Gigante,7.0
1927-12-13,Konets Sankt-Peterburga,7.3
2007-10-26,Jab We Met,7.2
2008-09-10,Fifty Dead Men Walking,6.1
1963-03-01,La Baie des Anges,6.4
1928-09-16,The Docks of New York,6.8
1934-10-02,Our Daily Bread,2.5
2008-09-06,Deadgirl,5.5
2006-09-28,Lo que sé de Lola,5.5
1917-11-30,Das fidele Gefängnis,9.5
2001-03-31,ラブひな 春スペシャル ～キミサクラチルナカレ!!～,4.7
1984-08-19,黃土地,7.9
1934-10-05,Cleopatra,5.2
1938-01-15,The Divorce of Lady X,6.8
2009-01-01,Bye-Bye Bin Laden,0.0
1992-01-01,Gayniggers from Outer Space,4.3
2008-10-05,The Windmill Movie,7.0
2008-08-07,I Sell The Dead,6.0
1991-10-30,Van Gogh,6.6
1941-12-25,The Shanghai Gesture,6.0
1951-04-04,The Tales of Hoffmann,6.4
1928-10-06,The Wedding March,6.1
2009-10-16,Where the Wild Things Are,6.4
2007-10-05,Georg,5.2
1966-09-15,Chelsea Girls,6.6
1967-05-08,Terra em Transe,6.3
1960-12-31,মেঘে ঢাকা তারা,7.3
1975-06-04,India Song,7.0
1979-10-01,¡Que Viva México! - Да здравствует Мексика!,6.8
2006-10-03,Get Thrashed,6.4
1976-05-19,Aces High,4.3
1918-08-20,Shoulder Arms,6.7
1952-12-01,The Man Who Watched Trains Go By,6.3
1984-02-03,Reckless,5.8
1989-05-05,Lost Angels,6.5
1988-05-01,Black Eagle,4.0
1998-12-03,Legionnaire,5.2
2009-04-16,Beer Wars,5.9
2009-08-21,Shorts,5.1
2008-09-06,"New York, I Love You",5.7
2009-10-15,Law Abiding Citizen,7.2
1950-07-09,The Flame and the Arrow,6.4
1971-11-01,"I, Monster",4.8
1992-10-01,Rich in Love,7.2
2009-10-07,De helaasheid der dingen,7.3
1992-12-19,戰神傳說,6.0
2009-10-22,Amelia,5.4
2009-10-16,The Stepfather,5.4
1989-04-14,See You in the Morning,5.7
2009-02-09,Mary and Max,7.8
2009-01-16,Spread,5.2
2009-05-01,The Tournament,5.8
2009-09-15,The Boys Are Back,6.4
2009-09-13,Cairo Time,6.3
1970-09-09,Dio è con noi,4.5
1964-09-02,The 7th Dawn,4.7
1956-02-01,There's Always Tomorrow,7.4
1966-01-06,Szegénylegények,6.0
1966-10-08,La Prise de Pouvoir Par Louis XIV,6.9
1952-12-21,The Sound Barrier,5.5
1948-02-01,Xiao cheng zhi chun,6.7
1944-11-10,The Princess and the Pirate,6.5
1977-06-01,Ceddo,8.4
1959-01-22,Der Tiger von Eschnapur,5.7
1926-10-11,Мать,7.6
1930-01-02,Sous les toits de Paris,6.2
1968-09-08,La hora de los hornos,3.6
1964-05-13,Prima della rivoluzione,7.1
2008-05-18,Afterschool,5.8
2009-03-31,Dragonquest,2.3
2010-01-01,The Dark Lurking,3.4
1924-09-24,Аэлита,5.7
1924-04-26,Neobychainye priklyucheniya mistera Vesta,5.5
2009-09-05,Up in the Air,6.7
2001-12-25,David Copperfield,4.8
2005-09-16,Expo Magic of the White City,7.2
2004-01-01,H.H. Holmes: America's First Serial Killer,5.6
1980-02-01,El crimen de Cuenca,5.6
1990-01-01,Korczak,7.3
2007-06-10,You're Gonna Miss Me: A Film About Roky Erickson,6.8
2006-10-05,Forever,10.0
1983-01-01,Možnosti dialogu,7.5
1989-01-01,Tma/Svetlo/Tma,7.4
2009-02-18,35 Rhums,6.5
2009-05-22,Tormented,5.3
2009-10-28,Mutant Pumpkins from Outer Space,6.0
2000-01-01,"Ali Zaoua, prince de la rue",6.3
1951-02-21,The 13th Letter,7.0
1956-05-18,23 Paces to Baker Street,6.2
2007-03-29,"Maradona, la mano di Dio",5.6
2005-09-14,Komornik,6.1
1974-12-24,Nie ma róży bez ognia,7.0
2004-01-01,Ryan,7.8
1989-01-01,Balance,7.7
2009-09-09,吸血少女対少女フランケン,5.2
2009-04-17,Is Anybody There?,5.8
1935-04-02,Les Misérables,7.2
1990-04-13,Vital Signs,4.5
2009-10-22,Saw VI,6.0
2009-10-28,Michael Jackson's This Is It,6.7
2008-11-29,愛のむきだし,8.1
1993-09-10,A Dangerous Woman,4.8
1997-09-09,Twilight of the Ice Nymphs,6.6
2006-08-17,Wer früher stirbt ist länger tot,7.2
1953-03-10,99 River Street,6.7
1967-05-01,40 Guns to Apache Pass,4.1
2009-10-23,Cirque du Freak: The Vampire's Assistant,5.5
2009-11-24,The Boondock Saints II: All Saints Day,5.8
2009-10-09,Good Hair,6.7
2009-10-16,Black Dynamite,7.3
2009-01-18,Big Fan,6.1
2005-08-04,웰컴 투 동막골,7.7
2006-01-01,Salvage,4.4
2009-10-15,Astro Boy,6.1
1937-09-05,One Hundred Men and a Girl,4.9
1980-01-19,Un sacco bello,7.1
2009-09-30,Gentlemen Broncos,6.2
2009-10-23,Fantastic Mr. Fox,7.5
2009-09-25,Creation,6.6
1995-05-28,Between the Devil and the Deep Blue Sea,2.5
2009-12-30,Coco Chanel & Igor Stravinsky,6.1
1995-04-28,Top Dog,4.3
1995-04-11,The Pebble and the Penguin,5.2
2000-08-11,MVP: Most Valuable Primate,4.5
2009-01-09,Not Easily Broken,6.3
2000-05-31,Price of Glory,3.4
1961-10-20,Plácido,7.5
1959-01-22,Das Indische Grabmal,5.9
1969-01-15,L'amour fou,9.0
1928-11-10,Потомок Чингисхана,6.9
2003-06-11,Most,7.3
1929-02-25,Арсенал,7.0
1963-08-22,Vidas secas,6.4
2009-11-04,A Christmas Carol,6.6
1952-10-24,The Lusty Men,6.3
1970-11-30,The Hart of London,8.7
1933-03-24,Окраина,5.0
1943-04-12,Fires Were Started,5.8
2009-10-27,Battlestar Galactica: The Plan,6.6
1968-02-03,Chronik der Anna Magdalena Bach,5.7
1916-03-05,Hell's Hinges,5.7
2008-12-31,Michael Jackson: Life of a Superstar,0.0
1959-02-01,Kaagaz Ke Phool,6.5
1958-12-01,Murder by Contract,6.3
2009-07-07,The Private Lives of Pippa Lee,6.0
2006-04-21,Unser täglich Brot,8.0
1940-04-25,The Doctor Takes a Wife,7.0
1942-12-10,A Night to Remember,7.3
2006-04-01,Last Stop for Paul,6.3
1922-11-26,The Toll of the Sea,5.0
2009-05-28,Partly Cloudy,7.9
2003-06-05,Das Rad,7.1
1924-05-14,The Chechahcos,5.0
2009-04-18,Grey Gardens,6.7
2009-03-17,Goemon,6.8
2009-10-10,2012,5.6
2009-09-17,The Box,5.4
2009-03-01,Los abrazos rotos,7.1
1997-08-27,Sunday,6.3
2009-03-13,"Dédé, à travers les brumes",6.0
2009-11-06,The Fourth Kind,5.8
2009-11-06,Precious,6.9
1949-03-21,The Undercover Man,6.0
2009-09-11,The Bad Lieutenant: Port of Call - New Orleans,6.0
2009-03-15,The Twilight Saga: New Moon,5.6
2002-05-19,Derailed,3.9
2009-11-13,The Messenger,7.0
2008-09-13,Keith,7.0
2008-02-08,Etz Limon,6.7
2009-09-29,Ninja Assassin,6.2
2009-05-15,"Polițist, adjectiv",6.1
2004-12-28,Wake of Death,5.3
2006-05-02,Second In Command,4.7
2006-09-01,Efectos secundarios,5.0
2007-01-01,A Plumm Summer,5.7
1973-02-04,Wattstax,7.8
2006-08-15,The Hard Corps,4.7
1984-08-24,Oxford Blues,5.0
2009-11-06,Celda 211,7.3
2008-10-17,A Film with Me in It,6.1
1977-06-15,The Last Remake of Beau Geste,5.3
1972-03-01,Doomwatch,7.4
2007-01-19,Until Death,4.9
1987-01-01,Yeelen,6.5
1935-12-03,La kermesse héroïque,6.2
1972-09-10,Pakeezah,8.0
1955-05-03,楊貴妃,6.7
1998-07-10,The Patriot,4.2
2001-01-01,Ticker,3.6
2009-11-21,Turtles Forever,5.8
2009-11-16,Merry Madagascar,6.3
2009-01-27,Brothers,6.8
1970-02-06,Naisenkuvia,4.0
1982-12-03,Yhdeksän tapaa lähestyä Helsinkiä,0.0
1980-09-05,A Légy,7.4
1998-10-30,Summer of the Monkeys,5.7
2004-12-31,L'homme sans ombre,8.5
2007-10-05,Garage,6.5
1919-07-06,"Billy Blazes, Esq.",6.3
2008-07-10,Home Movie,5.1
2008-12-10,Sleep Dealer,6.0
2009-11-16,Before I Self Destruct,4.7
2007-07-01,Hoop Reality,0.0
2006-05-20,Printed Rainbow,5.8
2009-11-20,The Blind Side,7.2
1935-03-15,Счастье,5.4
1988-09-09,Une histoire de vent,7.6
1970-01-01,Zorns Lemma,7.0
1971-05-18,Gishiki,7.3
1928-01-13,Un chapeau de paille d'Italie,6.0
1969-01-01,"Tom, Tom, the Piper's Son",8.0
1977-07-07,Hitler - Ein Film aus Deutschland,7.6
2001-03-30,Torrente 2: Misión en Marbella,6.3
2008-03-20,Asylum,3.6
2009-04-11,クローズ ZERO II,7.3
1919-06-01,True Heart Susie,7.0
1971-01-01,La Région Centrale,8.3
1953-06-28,Anatahan,7.8
1931-05-17,Limite,5.8
1999-12-07,Mickey's Once Upon a Christmas,6.7
2009-06-08,Shrink,6.1
2009-11-24,Old Dogs,5.2
2004-01-01,Out of Reach,4.0
2009-11-19,Planet 51,5.6
2009-11-25,Me and Orson Welles,6.6
2009-03-14,Objectified,7.2
2005-09-24,Earthlings,7.6
2008-04-24,Trucker,6.8
2009-10-19,A Single Man,7.3
2008-10-06,Kill Switch,4.6
2009-05-01,Driven To Kill,4.9
2008-11-27,Морфий,6.2
2009-12-26,The Lovely Bones,6.6
2009-12-10,Invictus,7.0
1996-09-20,Carla's Song,6.8
2009-12-08,The Princess and the Frog,6.7
2009-12-04,Everybody's Fine,6.5
1961-07-26,Two Rode Together,6.1
2009-12-04,Armored,5.5
2009-12-04,Transylmania,4.1
1986-01-01,Invaders from Mars,5.5
1986-03-05,Link,5.9
2009-06-11,Doghouse,6.0
2008-09-19,Katastrofin aineksia,7.0
2007-01-01,Munyurangabo,6.7
2008-01-08,The Art of Travel,6.5
1991-02-22,Cover-Up,4.3
1994-01-01,Pentathlon,5.8
1930-02-04,Menschen am Sonntag,7.1
1970-01-16,অরণ্যের দিনরাত্রি,7.2
1962-05-03,Le Signe du lion,7.1
1984-12-26,Мой друг Иван Лапшин,7.0
1963-12-04,Judex,6.6
1924-03-09,Gösta Berlings saga,7.0
1948-10-01,Moonrise,4.8
1965-09-15,Vaghe stelle dell'Orsa...,7.2
1955-09-21,新平家物語,7.3
1995-12-15,Hidden Assassin,5.5
1998-01-18,The Peacekeeper,4.3
1931-11-17,Kameradschaft,6.8
1946-12-17,Utamaro o meguru gonin no onna,6.0
1963-04-29,Flaming Creatures,5.4
1966-09-05,Abschied von gestern,7.3
1938-09-27,Детство Горького,7.3
1928-11-11,White Shadows in the South Seas,6.3
2002-10-08,สุดเสน่หา,6.3
2006-05-26,Juventude Em Marcha,7.3
1965-07-04,Nicht versöhnt oder Es hilft nur Gewalt wo Gewalt herrscht,7.3
1947-09-22,Le diable au corps,5.3
1987-01-01,Hai zi wang,7.0
2009-04-10,Disko ja tuumasõda,5.3
1968-01-01,Pas de Deux,6.9
2009-12-17,Did You Hear About the Morgans?,5.1
1916-12-24,Snow White,4.0
1977-10-13,達摩密宗血神飄,5.8
1987-01-01,Dinosaurs!  A Fun-Filled Trip Back In Time,10.0
2007-12-05,Donkey Xote,4.8
2000-05-31,El arte de morir,5.0
1981-05-01,Tango,8.0
1942-09-24,My Sister Eileen,6.5
1945-11-29,She Wouldn't Say Yes,4.9
2009-11-01,Make the Yuletide Gay,6.1
2006-10-27,Faith Like Potatoes,6.0
2007-05-25,Cheeni Kum,6.4
2008-01-01,How 2 Build A Rapper,0.0
2008-08-22,Mum & Dad,6.3
2009-10-10,Nasty Old People,6.0
2009-05-16,Veronika Decides to Die,5.8
2009-12-06,Alice,6.3
1973-01-11,The Offence,7.0
2009-12-10,Avatar,7.2
2009-12-03,Nine,5.1
2007-08-22,Hard Luck,5.5
2001-09-26,La Chambre des Officiers,6.9
2005-11-07,Je vous trouve très beau,6.4
2009-12-23,It's Complicated,6.2
2009-12-23,Sherlock Holmes,7.0
2009-12-16,Crazy Heart,6.8
2008-08-12,The Art of War II: Betrayal,4.9
2009-09-04,The Last Station,6.7
1978-01-01,Je suis timide... mais je me soigne,5.8
2009-12-21,Alvin and the Chipmunks: The Squeakquel,5.3
2009-11-15,Uncertainty,5.7
2007-01-12,गुरु,6.7
1915-01-01,Posle smerti,6.4
2005-01-25,Film Geek,5.9
1978-11-17,In einem Jahr mit 13 Monden,7.0
1943-08-19,The Fallen Sparrow,3.7
2009-02-05,Beyond a Reasonable Doubt,5.5
2001-04-01,The Profit,4.5
2009-05-27,Looking for Eric,6.4
2009-06-18,American Pie Presents: The Book of Love,5.1
1956-05-30,Trapeze,6.4
1970-09-18,There Was a Crooked Man...,6.9
1956-10-30,The Battle of the River Plate,6.1
1964-12-18,Matrimonio all'italiana,7.8
1998-09-26,The Minion,4.8
1999-03-23,Sweepers,1.8
1925-12-26,Lady Windermere's Fan,8.5
2008-10-17,Not Your Typical Bigfoot Movie,6.3
2007-01-18,The Good Life,6.9
1925-11-16,Varieté,6.8
1972-01-01,Out 1: Spectre,7.0
1926-01-07,Moana,6.6
1945-12-31,A Diary for Timothy,8.0
1946-08-31,Unter den Brücken,7.8
1999-01-01,Bridge of Dragons,5.7
1999-09-10,Storm Catcher,4.5
1936-04-20,У самого синего моря,6.5
1941-12-18,"H.M. Pulham, Esq.",0.0
1925-11-17,Clash of the Wolves,5.0
1988-01-29,Sorority Babes in the Slimeball Bowl-O-Rama,4.9
2000-01-28,Jill Rips,4.0
1997-06-08,Pronto,5.5
2009-09-04,Carriers,5.8
2007-11-30,Aaja Nachle,6.0
1973-06-26,The Friends of Eddie Coyle,7.6
1972-02-02,Rocker,5.3
1936-01-31,Mayerling,7.3
1982-10-27,Toute une nuit,6.5
1949-02-13,わが恋は燃えぬ,5.0
1934-11-30,The Song of Ceylon,5.0
1934-09-27,Maskerade,4.2
1982-02-17,Trop tôt/Trop tard,9.0
1939-09-12,В людях,5.0
2006-04-20,Piter FM,5.4
2009-03-06,Pontypool,6.6
2009-10-13,Playmobil: The Secret of Pirate Island,0.0
2009-09-01,Big Pun: The Legacy,5.8
2000-01-01,Agent Red,4.2
2001-08-21,The Last Patrol,3.8
2007-09-09,The Girl in the Park,6.1
2009-01-01,Command Performance,4.9
2009-04-16,Direct Contact,4.4
2007-09-14,Lieksa!,5.3
1955-07-24,Land of the Pharaohs,6.0
1988-11-10,Heart of Midnight,5.6
1957-08-23,The Sun Also Rises,5.4
2009-09-11,Youth in Revolt,5.9
2009-01-06,Daybreakers,6.0
2009-02-12,La teta asustada,6.6
2009-09-21,The Age of Stupid,6.2
2007-11-29,Missionary Man,5.5
2007-01-01,Diamond Dogs,4.1
2009-06-13,Hachi: A Dog's Tale,7.7
1994-01-01,Twogether,0.0
1991-05-17,Enid Is Sleeping,3.5
2007-01-01,10 MPH,9.0
1978-02-12,"Profetul, aurul și ardelenii",0.0
2010-01-08,Leap Year,6.5
2010-01-14,The Book of Eli,6.6
2009-11-27,Luftslottet som sprängdes,7.0
2005-03-25,Tickets,6.0
1972-10-04,Hickey & Boggs,6.5
1990-09-08,Mister Johnson,5.8
1976-09-09,L'innocente,6.0
2009-08-26,Un prophète,7.5
1977-01-01,"L'uomo, la donna e la bestia - Spell (Dolce mattatoio)",4.0
1967-01-01,A Guide for the Married Man,6.3
2007-04-19,Kala,6.5
1995-07-22,Ye Ban Ge Sheng,6.8
2009-02-07,Staten Island,6.4
2006-06-16,Princess,6.2
2009-09-12,Collapse,7.7
2000-02-23,Last Resort,5.5
2006-06-01,عمارة يعقوبيان,6.8
2009-09-27,Metal Gear Solid: Philanthropy,6.4
2009-08-21,My One and Only,6.2
2008-12-19,El cant dels ocells,8.0
2009-05-09,The Maiden Heist,5.8
2001-05-12,Hidden Agenda,6.0
2003-07-05,Detention,5.6
1935-10-04,I Live My Life,1.3
1963-05-01,The V.I.P.s,5.4
1952-10-01,お茶漬けの味,7.5
1985-01-01,Louie Bluie,9.0
1994-12-14,Ernest Goes to School,3.7
2004-01-01,Direct Action,4.1
2004-12-20,The Defender,4.9
2007-12-04,Mr. Warmth: The Don Rickles Project,6.1
2000-12-07,Shooting War,5.3
2001-04-01,Semper Fi,0.0
2003-12-16,Puppet Master: The Legacy,2.1
1916-09-03,Gretchen the Greenhorn,5.5
2009-04-02,Blood: The Last Vampire,5.1
2008-10-30,Liverpool,7.3
1936-11-12,Theodora Goes Wild,6.3
1994-05-14,MacGyver: Lost Treasure of Atlantis,5.6
1958-12-08,Pekka ja Pätkä Suezilla,6.0
2007-03-28,Ne touchez pas la hache,5.5
2009-02-06,Horsemen,5.5
2004-12-17,Swades,7.3
2008-04-25,Bart Got a Room,5.9
2008-01-01,Jerichow,6.3
1958-04-30,Το τελευταίο ψέμα,5.0
1999-10-15,As Bodas de Deus,8.8
1987-08-23,The Last of England,6.1
2001-03-16,害虫,7.0
1987-08-19,A計劃續集,6.6
2009-09-06,"My Son, My Son, What Have Ye Done",6.0
1998-10-29,Tulennielijä,3.0
2009-09-09,Soul Kitchen,7.0
2008-02-01,Caos Calmo,6.5
1972-10-06,Heat,6.3
1977-06-15,Le diable probablement,7.0
2009-11-25,Altiplano,4.7
1932-10-22,One Way Passage,6.7
1978-12-22,"Artista, dolarii și ardelenii",0.0
1983-01-21,The House on Sorority Row,6.0
2008-03-19,Chasseurs de dragons,6.5
2008-04-26,The 27 Club,8.0
2006-09-28,Bo bui gai wak,6.6
1992-04-24,Year of the Comet,6.9
2009-09-01,Le Concert,6.9
2009-01-01,Macheads,5.5
2008-05-06,Welcome To Macintosh,5.2
2002-12-18,Le papillon,6.9
2008-12-25,The Other Man,5.1
2009-11-16,Wrong Turn at Tahoe,6.3
2009-10-22,Ninja,5.4
2010-01-06,Jos rakastat,7.5
2008-11-20,Drottningen och jag,5.0
1992-05-22,The Long Day Closes,7.2
1938-09-07,La femme du boulanger,7.9
2007-12-14,Fighter,4.7
1936-10-02,Le roman d'un tricheur,7.6
1965-10-13,সুবর্ণরেখা,7.7
1943-11-09,Douce,8.0
1937-05-29,Kid Galahad,7.0
2008-01-13,Astérix aux Jeux Olympiques,5.0
2008-02-14,추격자,7.7
2006-01-01,Flock of Dodos: The Evolution-Intelligent Design Circus,5.6
1996-05-01,Comment je me suis disputé... (ma vie sexuelle),5.8
2007-03-11,Hannah Takes the Stairs,5.6
1984-03-14,Meantime,6.8
1977-11-01,Abigail's Party,7.4
1966-07-15,白昼の通り魔,5.3
2009-05-19,Mega Shark vs Giant Octopus,3.7
2009-09-25,Galerianki,5.4
2009-06-05,Pokrajina Št.2,5.0
1986-04-09,Dr. Otto and the Riddle of the Gloom Beam,6.0
1964-12-06,"Rudolph, the Red-Nosed Reindeer",6.9
2007-11-10,A Dennis the Menace Christmas,4.8
2009-12-25,Nowhere Boy,7.2
2007-11-07,Note by Note: The Making of Steinway L1037,7.3
2007-04-19,Garbage Warrior,8.0
2009-01-01,The Thaw,5.1
2009-09-11,Kansakunnan olohuone,4.8
2009-02-07,Blood and Bone,6.6
2006-04-11,Undisputed II: Last Man Standing,6.8
2001-02-16,Motocrossed,4.4
2009-12-23,3 Idiots,7.8
1990-12-26,Svampe,0.0
2008-09-26,DeUsynlige,7.2
2004-05-28,Hum Tum,6.1
1953-05-28,Genevieve,6.3
1970-12-31,Sometimes a Great Notion,7.0
1978-10-10,La Carapate,6.6
1992-10-04,Running Mates,5.5
2010-01-21,Legion,5.2
1943-03-20,Air Force,6.3
1929-04-06,Coquette,5.4
1947-09-24,Unconquered,5.1
1941-06-13,Man Hunt,6.8
